"column2","name","star","review","rating","price","address"
"0","1 Hotel Central Park","","1292","9.1","770","New York"
"1","1 Hotel Central Park","5","1292","9.1","770","New York"
"2","109th Street Apartment","2","3","7.7","170","Upper West Side"
"3","1600 Broadway","2","","","","New York"
"4","3 West Club","3","226","7.9","","New York"
"5","36th Street Midtown East Luxury Duplex Apartment","2","","","","Kips Bay"
"6","AKA Central Park","","1101","8.7","495","New York"
"7","AKA Central Park","4","1101","8.7","495","New York"
"8","AKA Sutton Place","4","","","","Midtown East"
"9","AKA Times Square","","832","8.8","455","New York"
"10","AKA Times Square","4","832","8.8","455","New York"
"11","AKA United Nations","4","","","","Midtown East"
"12","Allie's Inn Bed and Breakfast","3","101","8.7","","Harlem"
"13","Aloft Harlem","4","424","8.5","314","Harlem"
"14","Ameritania at Times Square","","1015","8.2","509","New York"
"15","Andaz 5th Avenue","5","401","8.7","575","New York"
"16","Apartment in Central New York","","25","7.4","","Hell's Kitchen"
"17","Apartment near Times Square","","13","9","","Hell's Kitchen"
"18","Apartment New York 3","2","","","","Midtown East"
"19","Apartment New York 4","2","","","","Midtown East"
"20","Apartment New York 5","2","","","","Midtown East"
"21","Apartment168 NYC","","270","8.6","","Hell's Kitchen"
"22","Apartments Lincoln Center","2","25","7.9","","Upper West Side"
"23","Arlo Hudson Square","4","413","8.6","399","SoHo"
"24","Baccarat Hotel and Residences New York","5","167","9.2","1275","New York"
"25","Best Western Bowery Hanbee Hotel","3","999","7.9","287","Chinatown"
"26","Best Western Plus Seaport Inn Downtown","3","945","8.2","","Wall Street - Financial District"
"27","Blakely New York Hotel","4","2378","8.6","395","New York"
"28","Blakely New York Hotel","","2378","8.6","395","New York"
"29","Blue Moon Boutique Hotel","4","612","7.8","","Lower East Side"
"30","Bridgestreet at the Chrystie","2","","","","New York"
"31","Broadway Hotel & Hostel","","3131","7.2","115","Upper West Side"
"32","Broadway Plaza Hotel","3","1120","8.1","329","Chelsea"
"33","Broome Street Apartment - Lower East Side #19","1","14","6.9","","New York"
"34","Bryant Park Hotel","4","698","9.1","545","New York"
"35","Bryant Park Studio Apartment Times Square South","","6","7.9","","New York"
"36","""CAMBRiA Hotel & Suites, New York _�� Times Square""","3","1776","8.9","339","New York"
"37","Carnegie Hotel","4","","","","New York"
"38","Cassa Hotel 45th Street","","1562","8.7","","New York"
"39","Cassa Hotel 45th Street","","1562","8.7","504","New York"
"40","Cassa Hotel 45th Street","4","1562","8.7","504","New York"
"41","Cassa Hotel 45th Street","4","1562","8.7","","New York"
"42","Cassa Hotel Times Square","4","3941","8.7","370","Hell's Kitchen"
"43","CENTRAL PARK ADJACENT LUXURY CITY VIEWS SLEEPS 1-4","2","","","","New York"
"44","Central Park West Hostel","1","870","5.8","","Upper West Side"
"45","Central Two Bedroom Apartment In Times Square","","6","4.8","","New York"
"46","Chambers Hotel","4","670","8.9","536","New York"
"47","Charming Studio in East Village","","7","6.8","","East Village"
"48","Chelsea Interfaith Retreats","2","177","7.9","","Chelsea"
"49","Chic 2 Bedrooms Duplex near Times Square","","","","","Hell's Kitchen"
"50","Club Quarters Hotel World Trade Center","4","857","8.6","309","Wall Street - Financial District"
"51","""Club Quarters Hotel, Opposite Rockefeller Center""","4","1110","8","459","New York"
"52","Comfort Inn Lower East Side","3","1033","7.9","237","New York"
"53","Comfort Inn Times Square West","2","554","8.2","309","Hell's Kitchen"
"54","Cosmopolitan Hotel Tribeca","","1135","7.9","359","Tribeca"
"55","Courtyard by Marriott New York Manhattan/Central Park","4","5334","8.2","427","New York"
"56","Courtyard by Marriott New York Manhattan/Chelsea","","1686","8.6","288","Chelsea"
"57","Courtyard by Marriott Times Square West","4","2243","8.7","368","Hell's Kitchen"
"58","Courtyard New York Manhattan/Midtown East","4","641","8.5","359","Midtown East"
"59","Courtyard New York Manhattan/Times Square","3","1024","8.5","538","New York"
"60","Courtyard New York Manhattan/Times Square","","1024","8.5","538","New York"
"61","Cozy Apartment Near Central Park","2","4","6.4","","Upper West Side"
"62","Cozy Two Bedrooms","2","8","6.4","","East Village"
"63","Cozy Two Bedrooms","","8","6.4","","East Village"
"64","Crowne Plaza Times Square","4","6558","8.1","408","New York"
"65","Da Vinci Hotel","3","698","7.7","219","New York"
"66","Distrikt Hotel New York City","","1900","8.8","409","Hell's Kitchen"
"67","DoubleTree Suites by Hilton NYC - Times Square","","2026","8.1","465","New York"
"68","Dream Downtown","","1509","8.1","425","Chelsea"
"69","Dream Downtown","4","1509","8.1","425","Chelsea"
"70","Dream Midtown","4","1243","8.3","445","New York"
"71","Dream Midtown","","1243","8.3","","New York"
"72","Dylan Hotel","","1172","7.9","271","Murray Hill"
"73","East Side 3 bedroom 2 bathroom (7)","","3","8.8","","Midtown East"
"74","East Village Amazing 2 Bedroom","2","","","","East Village"
"75","East Village Beach Bungalow Getaway","2","","","","Lower East Side"
"76","East Village Hotel","3","636","8.2","350","East Village"
"77","East Village Lodging","2","7","8.7","","East Village"
"78","Element Times Square West","3","7726","8.4","409","Hell's Kitchen"
"79","Essex House 1","","","","","New York"
"80","EVEN Hotel New York - Midtown East 44th","3","","","","Midtown East"
"81","Excelsior Hotel","3","753","8.2","254","Upper West Side"
"82","Exclusive Studio","","","","","New York"
"83","Executive Hotel Le Soleil New York","","2493","8.7","281","New York"
"84","Fairfield Inn by Marriott New York Manhattan/Financial District","4","1543","8.4","334","Wall Street - Financial District"
"85","Fantastic Luxurious One Bedroom - Near Macy's/MS Garden/Empire State Building","2","","","","New York"
"86","Financial District at 95 Wall Street _�� A Premier Furnished Apartment","5","","","","Wall Street - Financial District"
"87","Financial District Studio Apartment","","17","6.8","","Wall Street - Financial District"
"88","Four Bedroom Apartment - Eldridge St. #38","1","14","7.3","","Chinatown"
"89","Four Bedroom Apartment - Union Square","2","","","","New York"
"90","Four Points by Sheraton Manhattan Chelsea","","789","8.2","409","Chelsea"
"91","Four Points by Sheraton Manhattan SoHo Village","3","658","8.1","450","SoHo"
"92","Four Seasons Hotel New York","5","166","8.5","1095","Midtown East"
"93","Gansevoort Meatpacking","","1096","8.3","545","Greenwich Village"
"94","Gansevoort Park Hotel NYC","4","827","8.8","401","New York"
"95","Gardens NYC-an Affinia hotel","4","297","8.1","665","Upper East Side"
"96","""Gatsby Hotel, An Ascend Hotel Collection Member""","3","316","7.6","309","New York"
"97","Global Luxury Suites at 10 Hanover Square","4","","","","Wall Street - Financial District"
"98","Global Luxury Suites at 800 6th Avenue","4","","","","Chelsea"
"99","Global Luxury Suites at 95 Wall","4","","","","Wall Street - Financial District"
