,star,review,rating,price
1,5.0,1292.0,9.1,770.0
2,2.0,3.0,7.7,170.0
7,4.0,1101.0,8.7,495.0
10,4.0,832.0,8.8,455.0
13,4.0,424.0,8.5,314.0
15,5.0,401.0,8.7,575.0
23,4.0,413.0,8.6,399.0
24,5.0,167.0,9.2,1275.0
25,3.0,999.0,7.9,287.0
27,4.0,2378.0,8.6,395.0
32,3.0,1120.0,8.1,329.0
34,4.0,698.0,9.1,545.0
36,3.0,1776.0,8.9,339.0
40,4.0,1562.0,8.7,504.0
42,4.0,3941.0,8.7,370.0
46,4.0,670.0,8.9,536.0
50,4.0,857.0,8.6,309.0
51,4.0,1110.0,8.0,459.0
52,3.0,1033.0,7.9,237.0
53,2.0,554.0,8.2,309.0
55,4.0,5334.0,8.2,427.0
57,4.0,2243.0,8.7,368.0
58,4.0,641.0,8.5,359.0
59,3.0,1024.0,8.5,538.0
64,4.0,6558.0,8.1,408.0
65,3.0,698.0,7.7,219.0
69,4.0,1509.0,8.1,425.0
70,4.0,1243.0,8.3,445.0
76,3.0,636.0,8.2,350.0
78,3.0,7726.0,8.4,409.0
81,3.0,753.0,8.2,254.0
84,4.0,1543.0,8.4,334.0
91,3.0,658.0,8.1,450.0
92,5.0,166.0,8.5,1095.0
94,4.0,827.0,8.8,401.0
95,4.0,297.0,8.1,665.0
96,3.0,316.0,7.6,309.0
102,2.0,8.0,7.6,304.0
109,3.0,768.0,8.5,379.0
110,4.0,264.0,8.7,439.0
112,4.0,4452.0,8.3,450.0
113,4.0,455.0,8.3,413.0
114,3.0,1913.0,8.4,336.0
116,3.0,3920.0,7.6,319.0
117,3.0,3444.0,8.0,306.0
119,4.0,2514.0,7.7,306.0
122,4.0,1679.0,8.1,342.0
127,3.0,1218.0,8.2,237.0
130,4.0,427.0,8.8,379.0
132,3.0,1060.0,7.7,152.0
134,3.0,943.0,7.4,352.0
137,4.0,1537.0,8.5,433.0
139,4.0,331.0,8.7,454.0
140,4.0,447.0,9.1,475.0
143,5.0,95.0,8.7,655.0
147,5.0,910.0,9.2,806.0
148,3.0,881.0,8.5,365.0
149,3.0,505.0,8.9,409.0
163,3.0,1223.0,7.1,339.0
167,4.0,1599.0,8.2,508.0
169,4.0,2707.0,7.9,288.0
175,4.0,740.0,8.4,377.0
176,4.0,6114.0,8.2,531.0
178,4.0,714.0,9.1,340.0
179,4.0,926.0,8.7,509.0
200,4.0,7045.0,8.2,395.0
202,3.0,2348.0,7.7,245.0
204,2.0,37.0,6.8,279.0
206,4.0,562.0,8.9,399.0
208,4.0,2861.0,8.3,509.0
210,3.0,302.0,8.6,440.0
211,4.0,9904.0,7.2,332.0
219,5.0,220.0,8.5,333.0
221,4.0,2216.0,8.5,449.0
233,3.0,253.0,7.2,175.0
238,4.0,1449.0,7.9,359.0
241,4.0,784.0,8.0,311.0
243,2.0,255.0,5.5,109.0
247,5.0,297.0,8.5,509.0
248,4.0,1146.0,8.6,431.0
249,4.0,499.0,9.0,307.0
251,5.0,2464.0,9.0,595.0
252,5.0,1585.0,8.5,699.0
254,4.0,6629.0,7.1,386.0
259,5.0,622.0,9.0,756.0
261,3.0,244.0,7.4,189.0
263,5.0,127.0,8.5,1100.0
264,5.0,281.0,8.9,871.0
266,4.0,474.0,8.5,467.0
268,5.0,1806.0,8.7,669.0
273,4.0,1441.0,8.6,559.0
275,4.0,2616.0,8.5,355.0
276,4.0,965.0,8.8,373.0
278,4.0,454.0,8.6,479.0
279,4.0,2329.0,8.3,485.0
283,5.0,384.0,8.4,940.0
284,4.0,713.0,8.6,349.0
301,5.0,1720.0,8.3,544.0
302,5.0,159.0,8.3,669.0
304,4.0,1553.0,8.7,525.0
306,5.0,2946.0,8.7,530.0
308,3.0,5345.0,7.5,359.0
309,3.0,884.0,7.7,322.0
311,4.0,870.0,8.2,399.0
