,name,star,review,rating,price,address,brand_affiliation
0,1 Hotel Central Park,,1292,9.1,770,"New York, NY",
2,109th Street Apartment,2,3,7.7,170,"Upper West Side, New York, NY",
3,1600 Broadway,2,,,,"New York, NY",
4,3 West Club,3,226,7.9,,"New York, NY",
5,36th Street Midtown East Luxury Duplex Apartment,2,,,,"Kips Bay, New York, NY",
6,AKA Central Park,,1101,8.7,495,"New York, NY",AKA 
8,AKA Sutton Place,4,,,,"Midtown East, New York, NY",AKA 
9,AKA Times Square,,832,8.8,455,"New York, NY",AKA 
11,AKA United Nations,4,,,,"Midtown East, New York, NY",AKA 
12,Allie's Inn Bed and Breakfast,3,101,8.7,,"Harlem, New York, NY",
13,Aloft Harlem,4,424,8.5,314,"Harlem, New York, NY",
14,Ameritania at Times Square,,1015,8.2,509,"New York, NY",
15,Andaz 5th Avenue,5,401,8.7,575,"New York, NY",
16,Apartment in Central New York,,25,7.4,,"Hell's Kitchen, New York, NY",
17,Apartment near Times Square,,13,9,,"Hell's Kitchen, New York",
18,Apartment New York 3,2,,,,"Midtown East, New York",
19,Apartment New York 4,2,,,,"Midtown East, New York",
20,Apartment New York 5,2,,,,"Midtown East, New York",
21,Apartment168 NYC,,270,8.6,,"Hell's Kitchen, New York, NY",
22,Apartments Lincoln Center,2,25,7.9,,"Upper West Side, New York, NY",
23,Arlo Hudson Square,4,413,8.6,399,"SoHo, New York, NY",
24,Baccarat Hotel and Residences New York,5,167,9.2,1275,"New York, NY",
25,Best Western Bowery Hanbee Hotel,3,999,7.9,287,"Chinatown, New York, NY",Best Western
26,Best Western Plus Seaport Inn Downtown,3,945,8.2,,"Wall Street - Financial District, New York, NY",Best Western
27,Blakely New York Hotel,4,2378,8.6,395,"New York, NY",
29,Blue Moon Boutique Hotel,4,612,7.8,,"Lower East Side, New York, NY",
30,Bridgestreet at the Chrystie,2,,,,"New York, NY",
31,Broadway Hotel & Hostel,,3131,7.2,115,"Upper West Side, New York, NY",
32,Broadway Plaza Hotel,3,1120,8.1,329,"Chelsea, New York, NY",
33,Broome Street Apartment - Lower East Side #19,1,14,6.9,,"New York, NY",
34,Bryant Park Hotel,4,698,9.1,545,"New York, NY",
35,Bryant Park Studio Apartment Times Square South,,6,7.9,,New York,
36,"CAMBRiA Hotel & Suites, New York _研 Times Square",3,1776,8.9,339,"New York, NY",
37,Carnegie Hotel,4,,,,"New York, NY",
38,Cassa Hotel 45th Street,,1562,8.7,,"New York, NY",
39,Cassa Hotel 45th Street,,1562,8.7,504,"New York, NY",
42,Cassa Hotel Times Square,4,3941,8.7,370,"Hell's Kitchen, New York, NY",
43,CENTRAL PARK ADJACENT LUXURY CITY VIEWS SLEEPS 1-4,2,,,,"New York, NY",
44,Central Park West Hostel,1,870,5.8,,"Upper West Side, New York, NY",
45,Central Two Bedroom Apartment In Times Square,,6,4.8,,"New York, NY",
46,Chambers Hotel,4,670,8.9,536,"New York, NY",
47,Charming Studio in East Village,,7,6.8,,"East Village, New York",
48,Chelsea Interfaith Retreats,2,177,7.9,,"Chelsea, New York",
49,Chic 2 Bedrooms Duplex near Times Square,,,,,"Hell's Kitchen, New York, NY",
50,Club Quarters Hotel World Trade Center,4,857,8.6,309,"Wall Street - Financial District, New York, NY",
51,"Club Quarters Hotel, Opposite Rockefeller Center",4,1110,8,459,"New York, NY",
52,Comfort Inn Lower East Side,3,1033,7.9,237,"New York, NY",Comfort Inn 
53,Comfort Inn Times Square West,2,554,8.2,309,"Hell's Kitchen, New York, NY",Comfort Inn 
54,Cosmopolitan Hotel Tribeca,,1135,7.9,359,"Tribeca, New York, NY",
55,Courtyard by Marriott New York Manhattan/Central Park,4,5334,8.2,427,"New York, NY",Marriott 
56,Courtyard by Marriott New York Manhattan/Chelsea,,1686,8.6,288,"Chelsea, New York, NY",Marriott 
57,Courtyard by Marriott Times Square West,4,2243,8.7,368,"Hell's Kitchen, New York, NY",Marriott 
58,Courtyard New York Manhattan/Midtown East,4,641,8.5,359,"Midtown East, New York, NY",
59,Courtyard New York Manhattan/Times Square,3,1024,8.5,538,"New York, NY",
61,Cozy Apartment Near Central Park,2,4,6.4,,"Upper West Side, New York",
62,Cozy Two Bedrooms,2,8,6.4,,"East Village, New York",
64,Crowne Plaza Times Square,4,6558,8.1,408,"New York, NY",
65,Da Vinci Hotel,3,698,7.7,219,"New York, NY",
66,Distrikt Hotel New York City,,1900,8.8,409,"Hell's Kitchen, New York, NY",
67,DoubleTree Suites by Hilton NYC - Times Square,,2026,8.1,465,"New York, NY",Hilton
68,Dream Downtown,,1509,8.1,425,"Chelsea, New York, NY",
70,Dream Midtown,4,1243,8.3,445,"New York, NY",
71,Dream Midtown,,1243,8.3,,"New York, NY",
72,Dylan Hotel,,1172,7.9,271,"Murray Hill, New York, NY",
73,East Side 3 bedroom 2 bathroom (7),,3,8.8,,"Midtown East, New York, NY",
74,East Village Amazing 2 Bedroom,2,,,,"East Village, New York, NY",
75,East Village Beach Bungalow Getaway,2,,,,"Lower East Side, New York, NY",
76,East Village Hotel,3,636,8.2,350,"East Village, New York, NY",
77,East Village Lodging,2,7,8.7,,"East Village, New York, NY",
78,Element Times Square West,3,7726,8.4,409,"Hell's Kitchen, New York, NY",
79,Essex House 1,,,,,New York,
80,EVEN Hotel New York - Midtown East 44th,3,,,,"Midtown East, New York, NY",
81,Excelsior Hotel,3,753,8.2,254,"Upper West Side, New York, NY",
82,Exclusive Studio,,,,,"New York, NY",
83,Executive Hotel Le Soleil New York,,2493,8.7,281,"New York, NY",
84,Fairfield Inn by Marriott New York Manhattan/Financial District,4,1543,8.4,334,"Wall Street - Financial District, New York, NY",Marriott 
85,Fantastic Luxurious One Bedroom - Near Macy's/MS Garden/Empire State Building,2,,,,"New York, NY",
86,Financial District at 95 Wall Street _研 A Premier Furnished Apartment,5,,,,"Wall Street - Financial District, New York",
87,Financial District Studio Apartment,,17,6.8,,"Wall Street - Financial District, New York, NY",
88,Four Bedroom Apartment - Eldridge St. #38,1,14,7.3,,"Chinatown, New York",
89,Four Bedroom Apartment - Union Square,2,,,,"New York, NY",
90,Four Points by Sheraton Manhattan Chelsea,,789,8.2,409,"Chelsea, New York, NY",Sheraton
91,Four Points by Sheraton Manhattan SoHo Village,3,658,8.1,450,"SoHo, New York, NY",Sheraton
92,Four Seasons Hotel New York,5,166,8.5,1095,"Midtown East, New York, NY",Four Seasons 
93,Gansevoort Meatpacking,,1096,8.3,545,"Greenwich Village, New York, NY",
94,Gansevoort Park Hotel NYC,4,827,8.8,401,"New York, NY",
95,Gardens NYC-an Affinia hotel,4,297,8.1,665,"Upper East Side, New York, NY",
96,"Gatsby Hotel, An Ascend Hotel Collection Member",3,316,7.6,309,"New York, NY",
97,Global Luxury Suites at 10 Hanover Square,4,,,,"Wall Street - Financial District, New York, NY",
98,Global Luxury Suites at 800 6th Avenue,4,,,,"Chelsea, New York, NY",
99,Global Luxury Suites at 95 Wall,4,,,,"Wall Street - Financial District, New York, NY",
100,Global Luxury Suites at Ritz Plaza,,,,,"New York, NY",
101,Global Luxury Suites at The Pearl,4,,,,"Upper East Side, New York, NY",
102,GRAMERCY PARK SPACIOUS 1 BR APT,2,8,7.6,304,"Gramercy, New York",
103,Gramercy Park Two Bedroom Apartment,2,,,,"Chelsea, New York",
104,Great Location Midtown East 35th Street and Third Ave,3,9,7.5,,"Murray Hill, New York",
105,Green Holidays Apartments,,106,7.3,,New York,Holiday Inn
106,Hamilton Heights Lovely 2 Bedroom,2,,,,"Harlem, New York, NY",
107,Hamilton Heights: Renovated 3 Bedroom,2,,,,"Harlem, New York, NY",
108,Hampton Inn Madison Square Garden,,768,8.5,379,"Chelsea, New York, NY",
110,HGU New York,4,264,8.7,439,"New York, NY",
111,HI NYC Hostel,,7595,8.4,,"Upper West Side, New York, NY",
112,Hilton Garden Inn Central Park South,4,4452,8.3,450,"New York, NY",Hilton
113,Hilton Garden Inn New York/Tribeca,4,455,8.3,413,"Tribeca, New York, NY",Hilton
114,Hilton Garden Inn Times Square Central,3,1913,8.4,336,"New York, NY",Hilton
116,Holiday Inn - Midtown - 57th Street,3,3920,7.6,319,"Hell's Kitchen, New York, NY",Holiday Inn
117,Holiday Inn Express New York City Chelsea,3,3444,8,306,"Chelsea, New York, NY",Holiday Inn
118,Holiday Inn Express Times Square - Fifth Avenue,,1830,7.6,387,"New York, NY",Holiday Inn
119,Holiday Inn Manhattan 6th Ave - Chelsea,4,2514,7.7,306,"Chelsea, New York, NY",Holiday Inn
120,Holiday Inn Manhattan Financial District,4,2432,8.1,,"Wall Street - Financial District, New York, NY",Holiday Inn
121,Home NYC,,112,9.6,,"Harlem, New York, NY",
122,Hotel 32 32,4,1679,8.1,342,"New York, NY",
123,Hotel 50 Bowery,4,,,,"Chinatown, New York, NY",
124,Hotel 91,,1366,7.4,175,"Chinatown, New York, NY",
125,Hotel Alexander,2,,,,"Upper West Side, New York",
126,Hotel Boutique at Grand Central,,1620,8.5,389,"Midtown East, New York, NY",
127,Hotel East Houston,3,1218,8.2,237,"New York, NY",
128,Hotel Hugo,4,742,8.2,,"SoHo, New York, NY",
129,Hotel Hugo,4,742,8.2,,"SoHo, New York, NY",
130,Hotel Indigo Lower East Side,4,427,8.8,379,"Lower East Side, New York, NY",
131,Hotel Mulberry,3,1040,8.6,,"Chinatown, New York, NY",
132,Hotel Newton,3,1060,7.7,152,"Upper West Side, New York, NY",
133,Hotel Stanford NYC Koreatown,,2996,7.8,284,"New York, NY",
134,"Hudson Central Park, A Morgans Hotel",3,943,7.4,352,"Hell's Kitchen, New York, NY",
135,"Hudson New York, Central Park",,6965,7.2,,"Hell's Kitchen, New York, NY",
136,Hyatt Centric Times Square New York,,1471,8.9,438,"New York, NY",Hyatt
137,Hyatt Herald Square Midtown,4,1537,8.5,433,"New York, NY",Hyatt
138,Hyatt Place New York,,2029,8.4,386,"New York, NY",Hyatt
139,Hyatt Union Square New York,4,331,8.7,454,"New York, NY",Hyatt
140,InterContinental New York Barclay Hotel,4,447,9.1,475,"Midtown East, New York",
141,InterContinental New York Times Square,,3196,8,495,"Hell's Kitchen, New York, NY",
142,Interfaith East Village,2,3,6.3,,"East Village, New York, NY",
143,Jet Luxury @ The Trump SoHo,5,95,8.7,655,"SoHo, New York, NY",
144,La Casa De Mis Primos ADAM,,,,,"Hell's Kitchen, New York, NY",
145,La Casa De Mis Primos MIKE,2,,,,"Hell's Kitchen, New York, NY",
146,"Langham Place, New York, Fifth Avenue",,910,9.2,806,"New York, NY",
148,Leon Hotel,3,881,8.5,365,"Chinatown, New York, NY",
149,Lex Hotel NYC,3,505,8.9,409,"Kips Bay, New York, NY",
150,Longacre House,2,,,,"Hell's Kitchen, New York, NY",
151,Lowell Hotel,5,51,9.1,,"Upper East Side, New York, NY",
152,Luxurious Central Park South 2 Bedroom Apartment,2,,,,New York,
153,Luxurious Doorman Building 2 Bedroom With Gym - Lincoln Center,2,,,,"Upper West Side, New York, NY",
154,Luxury 2BR 2 BATH by Grand Central,2,,,,"Murray Hill, New York, NY",
155,Luxury Three Bedroom Apartment on Park Ave & 31st Street - Midtown East,3,35,8.1,,"New York, NY",
156,Magnificent Central Park South One Bedroom Apartment,2,,,,New York,
157,Manhattan Lodging,2,11,5.6,,"Hell's Kitchen, New York, NY",
158,Manhattan NYC-an Affinia hotel,4,1939,7.8,,"Chelsea, New York, NY",
159,Manhattan Studio Apartment mid-west,2,8,8.3,,"Hell's Kitchen, New York, NY",
161,Manhattan Studio Apartments,1,136,7.1,,"New York, NY",
162,Manhattan West Hotel,,1223,7.1,339,"Hell's Kitchen, New York, NY",
164,"Marriott Vacation Club Pulse, New York City",,1134,8.7,365,"New York, NY",Marriott 
165,Midtown East Studio,,7,6.4,,"Midtown East, New York, NY",
166,Midtown West 4 bed 2 bath,,3,7.7,,"Hell's Kitchen, New York, NY",
167,Millenium Hilton,4,1599,8.2,508,"Wall Street - Financial District, New York, NY",Hilton
169,Millennium Broadway Hotel Times Square,4,2707,7.9,288,"New York, NY",
170,Morgans Hotel - A Morgans Original,4,736,8.4,,"Murray Hill, New York, NY",
171,Morningside Inn,1,70,5.9,,"Upper West Side, New York, NY",
172,My City House,2,34,7,,"New York, NY",
173,New York Apartments,2,93,6.5,,New York,
174,New York City Gottaspot,,12,7.4,,"New York, NY",
175,New York Marriott Downtown,4,740,8.4,377,"Wall Street - Financial District, New York, NY",Marriott 
176,New York Marriott Marquis,4,6114,8.2,531,"New York, NY",Marriott 
178,NobleDEN Hotel,4,714,9.1,340,"New York, NY",
179,Nolitan Hotel SoHo - New York,4,926,8.7,509,"New York, NY",
180,Nolitan Hotel SoHo - New York,,926,8.7,509,"New York, NY",
181,Nomo Soho,4,1671,8.2,,"SoHo, New York, NY",
183,NY Away - Central Park UWS 2-Bedroom - 14D,,3,4.7,,"Upper West Side, New York",
184,NY Away - Murray Hill 2 -Bedroom - N12M,,,,,New York,
185,Oakwood at the Nash,,195,8.6,,"Murray Hill, New York, NY",
186,Oakwood Aurora Midtown East,2,,,,"Murray Hill, New York, NY",
187,One Bedroom Apartment - Allen Street # 28,2,25,7.7,,"Lower East Side, New York, NY",
188,onefinestay - Midtown private homes,5,,,,"New York, NY",
189,onefinestay _研 Downtown East private homes II,5,,,,"East Village, New York",
190,onefinestay _研 Downtown East private homes II,5,3,9,,"East Village, New York",
191,Paramount Times Square,,1958,6.9,,"New York, NY",
192,Park Ave Apartments Midtown Next to Times Square,3,54,7.1,,New York,
193,Park Central,,5107,7.8,,"New York, NY",
194,Park Lane Hotel on Central Park,5,7332,7.7,,"New York, NY",
196,Park Savoy Hotel,2,764,6.6,,"New York, NY",
197,Park South Hotel,,334,8.5,499,"New York, NY",
198,PermaGO FiDi,2,10,8.5,,"Wall Street - Financial District, New York, NY",
199,Pod 51,,5991,8,155,"Midtown East, New York, NY",
200,Radisson Martinique on Broadway,4,7045,8.2,395,"New York, NY",
202,Ramada New York Eastside,3,2348,7.7,245,"Kips Bay, New York, NY",
204,Redford Hotel,2,37,6.8,279,"Lower East Side, New York, NY",
205,Refinery Hotel - New York,,1143,8.9,539,"New York, NY",
206,Renaissance New York Midtown Hotel,4,562,8.9,399,"New York, NY",Renaissance
207,Renovated 3 Bedroom Loft Manhattan #44,2,9,8,,"New York, NY",
208,Residence Inn by Marriott New York Manhattan/Times Square,4,2861,8.3,509,"New York, NY",Marriott 
209,Room in Shared Apartment Steps from Times Square,,,,,"Hell's Kitchen, New York, NY",
210,Room Mate Grace Boutique Hotel,3,302,8.6,440,"New York, NY",
211,Row NYC at Times Square,4,9904,7.2,332,"New York, NY",
212,Royalton Times Square,4,620,8.1,,"New York, NY",
213,,,,,,,
214,Sanctuary NYC Retreats,4,377,8.4,,"Lower East Side, New York, NY",
215,Sephora Inn,2,,,360,"Midtown East, New York, NY",
216,Sheraton Tribeca New York Hotel,4,2601,7.8,,"Tribeca, New York, NY",Sheraton
218,Shoreham Hotel,4,965,7.7,,"New York, NY",
219,Smyth - A Thompson Hotel,5,220,8.5,333,"Tribeca, New York, NY",
220,Sofitel New York,5,1098,8.6,,"New York, NY",
221,Soho Grand Hotel,4,2216,8.5,449,"SoHo, New York, NY",
223,Sohotel,,1612,8.1,379,"New York, NY",
224,Spacious 2 Bedroom in the Heart of Manhattan,,,,,New York,
225,Studio Apartment - 39th Street,,,,,"Murray Hill, New York, NY",
227,Studio Apartment - East 31st Street #30,2,27,7.3,,"New York, NY",
228,Studio Apartment - Financial District,2,3,7.7,,"Wall Street - Financial District, New York, NY",
229,Studio Apartments - West 31st Street,,135,6.6,499,"New York, NY",
230,Studio Plus - Apartment Suites,,42,6.9,,"New York, NY",
231,Studios Midtown Manhattan,,94,8.2,,New York,
232,Stunning Apartment with Spectacular Views Near 5th Ave,2,,,,New York,
233,Sugar Hill Harlem Inn,3,253,7.2,175,"Harlem, New York, NY",
234,Sugar Hill Suites,3,119,6.7,,"Harlem, New York, NY",
235,Superior Times Square Apartments,,90,6,,"Hell's Kitchen, New York, NY",
236,The Bernic Hotel,4,,,377,"Midtown East, New York",
237,The Court - A St Giles Hotel,,1449,7.9,359,"Murray Hill, New York, NY",
239,The French Quarters,,1479,9.3,,"Hell's Kitchen, New York, NY",
240,The Gallivant Times Square,,5957,7.4,,"New York, NY",
241,The GEM Hotel - Chelsea,4,784,8,311,"Chelsea, New York, NY",
242,The Gotham - Corporate Apartment,2,,,,"Kips Bay, New York, NY",
243,The Grand NYC Apartments,2,255,5.5,109,New York,
244,The Gregory,,1593,8.1,399,"New York, NY",
245,The Gregory,,1593,8.1,,"New York, NY",
